TOWN,ZIP_CODE,NO_BEDROOMS,BTH_DESC,SQUARE_FEET,YEAR_BUILT,GARAGE_SPACES_CC,SALE_PRICE
"Boston, MA",2118,2,1f 0h,873,1850,0,1265000.00
"Boston, MA",2129,2,2f 0h,1319,1935,2,1450000.00
"Boston, MA",2116,1,1f 0h,580,1880,0,745000.00
"Boston, MA",2115,2,2f 0h,1438,1880,0,1950000.00
"Boston, MA",2110,1,1f 1h,1247,1972,0,925000.00
"Boston, MA",2116,2,2f 0h,1365,1910,1,2550000.00
"Boston, MA",2129,3,2f 1h,2043,1998,1,1350000.00
"Boston, MA",2108,2,1f 0h,900,1900,0,1000000.00
"Boston, MA",2115,3,2f 0h,1421,1870,0,2330000.00
"Boston, MA",2127,2,1f 0h,890,1990,0,590000.00
"Boston, MA",2127,2,2f 0h,1174,2000,0,745000.00
"Boston, MA",2128,1,1f 0h,1013,1910,1,592000.00
"Boston, MA",2108,1,1f 0h,599,1880,0,760000.00
"Boston, MA",2129,1,1f 0h,910,1799,0,825000.00
"Boston, MA",2128,3,1f 0h,1094,1940,0,549000.00
"Boston, MA",2114,1,1f 0h,445,1899,0,589500.00
"Boston, MA",2118,3,2f 0h,2826,1899,2,2300000.00
"Boston, MA",2130,2,1f 0h,1085,1920,0,710000.00
"Boston, MA",2135,2,2f 0h,2024,1899,0,1000000.00
"Boston, MA",2128,2,2f 0h,919,2024,0,640000.00
"Boston, MA",2135,1,1f 0h,706,2021,1,605000.00
"Boston, MA",2127,3,3f 0h,1452,1900,0,949000.00
"Boston, MA",2115,2,1f 0h,798,1900,0,1330000.00
"Boston, MA",2116,2,2f 0h,1300,1900,0,2175000.00
"Boston, MA",2215,2,2f 0h,992,1986,0,1200000.00
"Boston, MA",2115,1,1f 0h,845,2014,0,840000.00
"Boston, MA",2130,2,2f 0h,1292,1987,1,770000.00
"Boston, MA",2130,3,2f 0h,1327,1901,1,1050000.00
"Boston, MA",2118,3,2f 1h,2175,1900,0,2730000.00
"Boston, MA",2128,2,2f 1h,1360,2024,0,850000.00
"Boston, MA",2114,1,1f 0h,748,2017,0,845000.00
"Boston, MA",2118,3,2f 0h,1603,2021,2,2100000.00
"Boston, MA",2118,3,2f 0h,1633,1875,0,1870000.00
"Boston, MA",2127,2,2f 0h,1153,1896,0,800000.00
"Boston, MA",2118,2,2f 0h,1141,2018,0,1078000.00
"Boston, MA",2114,2,2f 1h,1376,2003,1,1490000.00
"Boston, MA",2129,2,3f 0h,2153,1935,1,1400000.00
"Boston, MA",2113,2,1f 0h,702,1900,0,652500.00
"Boston, MA",2118,2,2f 0h,1252,2023,1,1675000.00
"Boston, MA",2109,3,2f 1h,1686,2006,1,1995000.00
"Boston, MA",2118,2,2f 0h,1054,2013,1,910000.00
"Boston, MA",2115,2,2f 0h,985,2019,1,1379000.00
"Boston, MA",2111,2,2f 0h,1195,2013,0,1230000.00
"Boston, MA",2116,1,1f 0h,589,2009,0,870000.00
"Boston, MA",2128,1,1f 0h,698,2021,1,715000.00
"Boston, MA",2108,2,2f 1h,1348,1850,0,2200000.00
"Boston, MA",2115,2,2f 0h,941,1882,0,1190000.00
"Boston, MA",2135,1,1f 0h,697,2022,0,284762.00
"Boston, MA",2118,2,2f 0h,1159,1899,0,1225000.00
"Boston, MA",2127,2,2f 0h,1138,2006,2,790000.00
"Boston, MA",2116,1,1f 0h,480,1885,0,635000.00
"Boston, MA",2127,2,2f 0h,1181,2013,0,984000.00
"Boston, MA",2130,3,3f 0h,2341,1979,1,1275000.00
"Boston, MA",2118,1,1f 1h,1359,1899,0,949000.00
"Boston, MA",2127,2,2f 0h,1111,2021,0,815000.00
"Boston, MA",2128,2,2f 0h,1048,2024,0,660000.00
"Boston, MA",2128,3,2f 1h,1621,2024,1,989000.00
"Boston, MA",2128,1,1f 0h,593,1970,0,373000.00
"Boston, MA",2129,1,1f 0h,794,1995,0,765000.00
"Boston, MA",2116,2,2f 0h,1248,1880,0,1150000.00
"Boston, MA",2127,2,1f 0h,789,1899,0,500000.00
"Boston, MA",2118,1,1f 0h,730,1890,0,860000.00
"Boston, MA",2129,2,1f 1h,1205,2011,0,1170000.00
"Boston, MA",2118,2,1f 0h,820,1870,0,1120000.00
"Boston, MA",2127,2,2f 0h,1241,2017,2,1050000.00
"Boston, MA",2118,2,2f 1h,1634,1860,0,2250000.00
"Boston, MA",2135,1,1f 0h,610,1932,0,450000.00
"Boston, MA",2129,1,1f 0h,623,1899,0,620000.00
"Boston, MA",2129,3,2f 1h,2123,1899,1,2550000.00
"Boston, MA",2215,2,2f 0h,1346,1986,1,1275000.00
"Boston, MA",2129,2,2f 1h,1292,1900,0,1700000.00
"Boston, MA",2128,2,2f 1h,1114,2024,0,715000.00
"Boston, MA",2129,2,1f 1h,980,1986,1,940000.00
"Boston, MA",2127,1,1f 0h,640,1900,0,505000.00
"Boston, MA",2127,1,1f 0h,717,1910,0,613000.00
"Boston, MA",2116,1,1f 0h,861,1932,1,1025000.00
"Boston, MA",2130,3,2f 1h,1877,2010,2,1315000.00
"Boston, MA",2118,2,2f 1h,1612,2023,1,1700000.00
"Boston, MA",2134,2,2f 0h,1039,1920,0,799000.00
"Boston, MA",2116,2,2f 0h,1087,1984,0,1190000.00
"Boston, MA",2108,2,2f 0h,1380,1899,0,1450000.00
"Boston, MA",2110,1,1f 0h,637,1910,0,637000.00
"Boston, MA",2130,1,1f 0h,550,1885,0,479000.00
"Boston, MA",2127,3,3f 0h,2346,2015,2,1592500.00
"Boston, MA",2130,3,2f 1h,1906,2023,1,1076000.00
"Boston, MA",2135,3,2f 0h,1630,2024,0,1275000.00
"Boston, MA",2113,2,2f 0h,1002,1899,0,900000.00
